Family	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?;?;?;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota;?;?;?	2853	0	49	34	1897	18496	6407	30202	1782	4374	4032	1322	8920	103	0	5	5984	5045	11023	5777	6380	2458	10324	1401	16368	54	6	94	13578	6305	18879	4633	8791	3794	750	8928	51391	242	73	29	4205	54220	11968	28731	13120	7337	8147	14	62291	346	353	2967	12433	1	17275	13930	14079	16840	755	7473	8780	1	1	63	10223	9088	11218	4741	3900	10754	399	6739	2943	0	14	0	6581	2616	7907	31245	5231	8981	23	0	14401	78	2	0	13373	11515	4315	3044	14271	8288	26	1399	0	6645	0	1472	0
Fungi;Ascomycota;Archaeorhizomycetes;?;?	15	0	0	0	156	1115	0	1	32	1	0	1	107	0	0	0	13	1	1	2	15	0	1	0	3	0	0	0	0	2	2	0	1	1224	2	5	1	0	0	0	10	2	0	1	8	861	5	0	2	0	0	0	19	0	5	3385	1	2497	0	2	4	0	0	7	0	6	0	12	1	540	29	2	0	0	0	0	0	0	18	2	1945	1	0	0	0	0	0	0	0	4	1	1	4971	730	0	91	0	25	0	214	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;?	6	0	0	2	2	14	0	0	3	39	747	0	2	11	0	3	1	0	1	1706	1	2	0	0	0	0	0	1	15	2	702	2	0	1	2	0	1	0	0	0	20	119	26	910	0	1	232	0	596	3	0	73	13	0	279	1	3	1	0	0	17	0	0	0	1	3	11	244	602	298	1	0	0	0	0	0	0	2	602	130	3	1	0	0	47	11	0	0	1	3	0	0	33	1	1	25	0	16	0	48	0
Fungi;Ascomycota;Dothideomycetes;?;?	6777	0	27	16	2066	6526	1999	14927	491	266	2819	1421	1115	52	0	0	4256	6451	2755	22284	8663	1108	9871	1174	4307	19	1	70	1566	2215	7951	2817	2932	1873	488	6622	4477	29	25	4	536	2920	3163	7056	1242	1294	6422	3	5258	110	224	726	2039	1	4839	7268	10198	7643	167	758	4068	0	0	30	7371	2375	2561	1136	3161	2138	110	3331	2539	0	2	0	4324	669	4711	1720	3180	6361	12	0	3978	54	1	0	8123	1196	973	1083	3247	2938	8	538	0	2226	0	504	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;?	6	0	2	0	0	13	0	1	1	0	73	0	2	0	0	0	4	14	22	0	58	0	202	0	2	0	0	0	88	34	97	9	7	0	15	0	0	0	0	0	10	15	1	91	0	1	97	0	4	0	0	4	50	0	2	21	65	83	0	0	2	0	0	0	2	6	5	0	190	0	1	1	2	0	0	0	2	0	1	47	4	286	0	0	0	2	0	0	22	5	0	6	30	42	0	8	0	13	0	2	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae	15	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	13	0	0	35	0	0	0	2	0	73	0	1	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	28	0	0	0	4	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae	169	0	1	0	88	648	138	102	17	0	104	1215	6	0	0	0	64	123	156	47	506	31	4	405	213	0	0	2	19	230	83	12	2	0	0	2	158	0	0	0	11	98	83	1	2	16	26	0	74	0	0	2	170	0	20	178	6	0	5	15	20	0	0	0	826	17	134	9	4	6	16	0	57	0	0	0	3	1	1	1	9	85	0	0	8	0	0	0	196	319	1	80	0	97	0	20	0	48	0	8	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Incertae sedis	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	135	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	1	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;?	71	0	0	0	1	10	0	0	0	0	0	0	2	0	0	0	6	9	1	9	0	0	0	0	5	0	0	0	0	0	39	5	0	0	17	0	5	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	28	0	1	0	9	1	0	0	1	0	0	0	6	0	1	13	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Davidiellaceae	21	0	1	0	14	106	7	144	236	3	648	0	0	4	0	0	230	140	2101	3436	35	3	136	11	16	204	0	2	113	58	844	5239	21942	0	86	36	8	20	0	1	32	169	569	7	844	7	127	0	95	3	2	11	34	0	416	4	320	1	13	16	44	0	0	0	16	8	246	125	2	0	1	5	18	0	0	0	60	6	275	3	23	283	0	0	38	17	0	0	31	5	1	3	368	2	0	8	0	269	0	49	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Incertae sedis	727	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	258	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	10	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae	184	0	0	0	4	58	58	261	25	6	0	24	53	1	0	0	14	44	19	1	98	0	7	15	300	0	1	1	8	25	61	0	4	35	20	49	43	5	0	0	18	263	29	868	258	0	209	0	27	0	0	82	36	0	23	0	99	2	1	0	25	0	0	0	28	25	22	10	38	0	0	43	32	0	0	0	70	0	53	17	34	0	0	0	0	0	0	0	65	22	11	0	1	13	0	7	0	42	0	7	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae	13	0	0	3	0	5	0	0	5	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	313	151	0	2	0	0	0	7	0	0	3	8	8	1	2	0	0	0	0	0	0	0	0	12	0	18	0	2	0	9	0	0	0	0	0	10	0	100	1	0	0	0	0	0	0	0	0	5	0	0	179	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0	9	0	2	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified	17	0	0	0	1	3	0	0	0	0	0	0	5	0	0	0	0	0	37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae	149	0	0	0	3	27	104	214	32	0	1548	65	7	0	0	0	49	46	44	8	65	15	55	12	12	0	0	0	23	58	59	0	22	0	83	14	20	0	2	0	1	69	26	0	2	5	45	0	107	2	0	0	14	0	21	1	2	12	2	0	10	0	0	0	35	66	9	4	64	2	0	7	13	0	0	0	18	46	0	6	12	19	1	0	14	24	0	0	29	183	25	1	11	35	0	7	0	26	0	8	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Micropeltidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Myxotrichaceae	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	187	0	0	3	0	1	0	2	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Pseudeurotiaceae	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Jahnulales;?	15	0	0	0	12	27	0	250	0	1	0	0	13	0	0	0	42	2	1	0	0	2	2	0	1041	0	0	0	12	13	0	0	1	0	0	0	24	0	0	0	1	13	0	0	0	0	1	0	119	2	0	0	1	0	6	196	99	0	3	0	22	0	0	0	1	1	4	5	9	20	0	14	29	0	0	0	7	0	0	0	9	0	0	0	68	0	0	0	28	0	30	0	6	0	0	9	0	5	0	12	0
Fungi;Ascomycota;Dothideomycetes;Jahnulales;Aliquandostipitaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Patellariales;Patellariaceae	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	11	11	0	0	0	0	0	17	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;?	21389	0	1	4	254	1235	908	846	52	263	2864	315	845	1	0	0	444	764	1710	336	1176	604	3134	368	2557	19	1	20	267	446	1714	197	1697	213	149	1076	1662	4	22	1	391	1056	364	632	363	142	1791	1	830	11	46	76	1034	0	982	1371	7833	1361	102	499	524	1	0	2	584	305	1333	270	1005	1761	15	836	739	0	0	0	2694	730	26	726	563	914	14	0	404	43	0	0	2572	3260	108	708	886	1533	1	106	0	583	0	128	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2	7	9	0	0	0	146	1	0	0	0	0	17	0	105	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	23	0	0	0	0	0	0	0	10	0	0	258	1	0	1	0	0	1	0	0	16	0	0	0	0	18	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	4	0	1	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis	681	0	0	5	200	1137	1100	180	4231	48	1164	1089	266	19	0	0	377	728	757	1352	2912	451	1955	479	776	6	0	17	234	864	1435	440	752	347	150	1610	415	5	15	3	97	1029	758	2421	150	244	2729	6	617	7	56	212	648	1	493	486	1244	1523	15	712	417	0	0	3	1039	162	331	74	704	1463	22	3874	232	0	0	0	1139	429	1316	646	478	695	2	0	348	15	0	0	1195	733	45	668	780	1480	4	88	0	313	0	58	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae	2	0	0	0	0	35	0	0	0	4	0	104	3	0	0	0	5	15	25	0	0	1	18	0	9	0	0	0	18	8	10	0	1	0	0	101	18	0	0	0	0	0	0	0	21	30	19	0	0	0	3	0	18	0	0	0	1	60	0	0	0	0	0	0	100	0	1	5	0	26	0	7	2	0	0	0	14	0	0	0	55	15	0	0	3	0	0	0	6	0	0	0	33	26	0	2	0	7	0	2	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae	1	0	0	0	0	3	0	1	1	0	215	0	0	0	0	0	1	1414	21	1	0	3	467	0	1	0	0	0	47	33	327	0	1	25	26	0	0	0	0	0	20	18	314	1	1	0	322	0	1	0	0	0	5	0	230	0	5	2	6	0	0	0	0	0	0	0	103	4	0	2	0	0	0	0	2	0	1	0	1	0	1	366	0	0	1	8	0	0	2	1	2	0	0	44	1	12	0	21	0	11	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae	1	0	0	0	1	4	0	0	0	36	1	0	2	1	0	0	4	1	0	0	0	9	0	0	3	0	0	0	0	0	51	0	0	0	0	0	1	0	4	0	0	0	3	37	0	0	0	0	2	0	0	3	0	1	6	36	73	0	0	0	0	0	0	0	1	20	0	3	0	0	4	0	0	0	0	0	0	46	130	1	0	1	0	0	7	0	0	0	1	57	0	15	0	0	0	2	0	15	0	1	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Montagnulaceae	77	0	1	1	30	294	396	1545	24	16	93	163	30	3	0	0	163	184	369	740	71	552	201	30	547	14	0	13	53	80	840	156	936	393	19	3529	71	17	2	1	40	151	17	286	1010	98	40	1	166	1	115	32	397	0	126	1520	410	606	13	41	70	0	0	0	130	219	216	44	101	511	7	714	96	0	0	0	215	165	246	423	161	283	0	0	53	5	0	0	707	276	118	160	115	163	3	45	0	110	0	29	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae	3	0	0	0	0	5	0	2	5	0	51	1	2	0	0	0	1	13	443	1	0	1	425	17	4	3	0	0	109	24	2843	0	418	1	59	0	1	3	0	1	31	6	936	2	188	0	19	0	2	0	0	0	1	0	524	1	1	0	12	0	10	0	0	0	7	1	108	13	0	0	0	32	3	0	0	0	40	0	1	0	1	20	0	0	1	0	0	0	2	8	0	4	1	7	0	3	0	32	0	8	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae	537	0	3	2	171	962	1101	609	7	2	62	360	393	2	0	0	386	233	614	392	480	499	208	173	732	17	0	7	137	268	538	85	2010	53	15	278	1251	5	0	1	50	153	33	1251	123	109	5	0	878	3	7	116	353	0	65	2057	292	1381	8	518	859	0	0	3	389	152	186	115	627	89	22	933	345	0	0	0	356	3	175	509	632	827	2	0	239	2	0	0	367	689	74	59	181	29	1	60	0	191	0	48	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae	37	0	5	0	41	64	3	348	33	32	364	268	2944	1	0	0	13	71	46	24	703	1635	979	233	63	2	0	4	48	175	168	26	114	364	21	6650	38	0	0	0	9	21	758	65	5	68	191	0	105	0	230	13	54	0	1815	25	954	329	6	121	192	0	0	1	69	22	52	50	31	326	1	1305	66	0	1	0	45	2	2	46	368	634	2	0	39	5	0	0	418	31	0	59	698	406	1	60	0	190	0	47	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Tubeufiaceae	14	0	0	0	10	56	0	66	59	15	2	31	127	0	0	0	1	25	19	0	76	0	49	46	15	0	0	1	39	13	86	1	3	0	21	28	45	2	0	0	1	50	27	1	235	16	78	0	204	0	1	0	742	0	37	0	27	253	4	0	66	0	0	1	229	162	13	12	160	146	0	46	17	0	0	0	163	0	4	0	21	26	0	0	22	0	0	0	102	0	0	2	10	20	0	7	0	18	0	2	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Venturiaceae	12	0	0	0	12	64	37	4	95	2	0	14	1	0	0	2	23	30	243	1	0	0	69	45	65	0	0	0	20	9	0	0	0	0	5	49	1	0	0	0	32	25	16	0	0	0	35	0	5	0	5	0	11	0	12	24	96	32	3	1	4	0	0	0	15	12	54	1	0	40	1	254	3	0	0	0	14	0	0	4	0	222	0	0	4	0	0	0	12	102	0	0	12	15	0	6	0	7	0	4	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;unidentified	338	0	3	1	63	858	16	253	109	406	1000	258	100	3	0	0	353	1428	674	75	342	277	1909	219	932	4	0	33	204	551	3854	599	628	113	219	3531	192	6	0	2	72	939	465	483	391	205	432	0	555	27	109	37	862	0	235	59	1395	2612	22	659	261	0	0	5	362	131	278	105	7	978	9	366	464	0	0	0	502	29	31	17	94	2263	1	0	1186	27	0	0	2977	514	5	53	261	1430	2	67	0	240	0	58	0
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;unidentified;?	3	0	0	0	0	6	1	0	0	0	0	0	14	5	0	0	21	11	0	0	0	1	0	0	19	0	1	0	2	1	30	134	0	0	2	15	4	0	3	0	0	3	0	0	0	0	0	0	4	3	0	0	0	0	1	0	184	22	1	0	7	0	0	1	44	41	0	7	0	0	0	0	6	0	0	0	8	127	237	0	24	0	0	0	23	0	0	0	36	0	0	1	2	3	0	0	0	8	0	3	0
Fungi;Ascomycota;Dothideomycetes;unidentified;unidentified	7793	0	1	1	149	506	1901	1072	1780	267	1003	154	100	29	0	0	926	358	1770	1270	15747	72	309	81	2997	68	0	9	224	264	1370	560	8193	4	49	128	281	13	26	0	132	626	576	4437	903	66	372	1	834	44	11	516	75	0	1217	952	1638	334	135	59	561	0	0	2	843	167	2552	359	186	665	8	273	199	0	1	0	608	952	757	1307	190	276	5	0	2089	19	0	0	700	2703	66	276	2359	2177	3	100	0	537	0	140	0
Fungi;Ascomycota;Eurotiomycetes;?;?	183	1	5	0	161	1957	1779	5514	231	2269	533	125	184	10	0	3	669	135	2037	1076	1359	306	366	1679	263	6	0	3	450	138	5292	361	1376	636	29	1189	288	11	7	3	284	786	1211	5298	826	859	1390	3	7485	17	37	553	975	5	2663	3529	1856	601	39	269	189	0	0	2	175	2889	570	1142	141	1085	39	392	214	0	1	0	301	135	1129	3210	3696	490	3	0	853	11	0	0	387	744	22	1563	1337	808	5	236	0	717	0	166	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;?	72	0	0	0	297	226	1642	744	1060	671	30	23	49	0	0	0	111	47	259	557	244	41	98	52	1347	6	0	0	670	68	782	506	441	72	43	196	24	173	0	1	266	347	187	3561	9180	77	122	0	276	3	10	353	102	0	785	165	123	63	19	48	57	0	0	0	51	202	240	237	7	27	8	284	34	0	0	0	80	73	12	960	411	30	0	0	141	1	0	0	61	252	212	71	10617	206	2	95	0	366	0	98	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Chaetothyriaceae	9	0	1	0	0	49	0	1	0	0	0	0	0	0	0	0	0	30	4	0	0	0	12	0	1	0	0	0	2	0	121	0	0	0	1	0	0	0	0	0	5	11	212	0	61	0	0	0	0	0	0	0	7	0	21	0	0	21	2	1	3	0	0	1	4	0	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	6	0	2	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae	22	5	0	2	809	13427	1163	2158	32	7431	120	47	197	10	0	37	226	49	345	7502	219	472	76	182	105	9	0	0	5019	23	5227	104	1125	583	24	62	56	3	3	1	17	89	21060	13719	114	19116	334	1	24629	165	6	1481	150	0	12608	1309	1170	138	38	16	86	0	2	0	26	2252	562	11527	359	7	259	285	64	0	8	0	62	109	1000	14803	1347	180	13	0	6792	5	4	0	59	72	90	89	30172	54	9	444	0	2612	0	376	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Incertae sedis	17	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	4	10	34	0	0	0	0	0	0	0	0	0	0	39	0	0	1	0	0	4	0	3	0	0	0	20	4	1	72	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;unidentified	3	0	0	0	4	49	3024	1	172	47	1	7	30	0	0	0	11	2	36	22	100	11	46	1	1	2	0	0	169	5	119	96	3	1	1	4	1	0	0	0	5	7	63	44	4	3	13	0	3	2	0	7	22	0	824	117	44	21	338	1	12	0	0	0	6	15	4879	19	0	84	0	263	0	0	0	0	20	0	0	0	2	2	0	0	56	0	0	0	4	42	1	6	9	1	1	58	0	85	0	27	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;?	4	0	0	0	5	40	406	124	91	9	147	51	0	0	0	0	13	4	2	308	7	4	265	9	6	19	0	0	19	9	64	2074	2191	2	39	12	4	0	0	0	106	14	526	39	1	8	114	0	2	0	2	14	706	0	26	268	23	0	44	57	19	0	0	0	5	231	789	18	1	1	2	1	16	0	0	0	0	50	1	423	2	99	0	0	3	6	0	0	4	2049	6	31	3	16	0	21	0	101	0	10	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Incertae sedis	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae	1029	1	435	199	1334	1847	11326	32165	14087	4036	34371	59084	552	44	0	20	11921	1283	16518	12716	13114	2306	13977	20115	712	54	0	20	4180	2410	18780	8810	8859	28986	3139	24341	1720	1445	2008	7	4520	1200	75650	9955	81429	11486	24625	1785	1584	39	867	1076	13713	17	13325	6046	55697	20359	628	17710	3253	1	0	63	1886	4143	9910	6474	45102	15165	65	23987	1099	4	16	0	2531	86011	2769	12492	15777	92140	154	0	732	651	6	0	2102	15241	4841	4835	8315	16929	34	3350	0	5756	0	1498	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;unidentified	361	1	4	0	56	371	3540	1236	936	1680	486	5770	10	10	0	1	223	90	3469	5300	2137	400	593	362	94	13	0	23	67	176	2555	887	3147	2773	51	913	59	1	4	4	205	102	1035	2895	13	192	896	1	618	3	34	282	7035	0	326	2032	2737	891	36	88	350	0	0	4	329	677	539	455	480	391	4	600	252	0	1	0	151	151	803	1500	226	1804	2	0	91	16	0	0	1963	7583	54	8720	283	435	2	233	0	398	0	96	0
Fungi;Ascomycota;Eurotiomycetes;Incertae sedis;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	125	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;?	23	0	0	0	0	125	24	385	0	6	41	1	4	0	0	0	3	19	13	27	346	70	130	0	2	0	0	0	38	11	32	29	46	40	0	56	53	0	0	0	15	3	1	15	1	0	103	0	4	0	1	1	55	1	11	50	321	112	0	35	136	0	0	0	21	8	26	3	0	26	4	59	8	0	0	0	59	0	4	0	20	78	0	0	0	2	0	0	40	20	41	0	17	280	0	9	0	17	0	5	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	49	0	2	0	0	0	0	0	0	3	0	75	9	0	0	0	0	4	0	0	0	0	0	2	107	1	0	0	0	0	0	0	12	0	0	0	6	80	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	4	0	5	0	1	0
