Genus	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?;?;?;?;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota;?;?;?;?	2853	0	49	34	1897	18496	6407	30202	1782	4374	4032	1322	8920	103	0	5	5984	5045	11023	5777	6380	2458	10324	1401	16368	54	6	94	13578	6305	18879	4633	8791	3794	750	8928	51391	242	73	29	4205	54220	11968	28731	13120	7337	8147	14	62291	346	353	2967	12433	1	17275	13930	14079	16840	755	7473	8780	1	1	63	10223	9088	11218	4741	3900	10754	399	6739	2943	0	14	0	6581	2616	7907	31245	5231	8981	23	0	14401	78	2	0	13373	11515	4315	3044	14271	8288	26	1399	0	6645	0	1472	0
Fungi;Ascomycota;Archaeorhizomycetes;?;?;?	15	0	0	0	156	1115	0	1	32	1	0	1	107	0	0	0	13	1	1	2	15	0	1	0	3	0	0	0	0	2	2	0	1	1224	2	5	1	0	0	0	10	2	0	1	8	861	5	0	2	0	0	0	19	0	5	3385	1	2497	0	2	4	0	0	7	0	6	0	12	1	540	29	2	0	0	0	0	0	0	18	2	1945	1	0	0	0	0	0	0	0	4	1	1	4971	730	0	91	0	25	0	214	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;?;?	6	0	0	2	2	14	0	0	3	39	747	0	2	11	0	3	1	0	1	1706	1	2	0	0	0	0	0	1	15	2	702	2	0	1	2	0	1	0	0	0	20	119	26	910	0	1	232	0	596	3	0	73	13	0	279	1	3	1	0	0	17	0	0	0	1	3	11	244	602	298	1	0	0	0	0	0	0	2	602	130	3	1	0	0	47	11	0	0	1	3	0	0	33	1	1	25	0	16	0	48	0
Fungi;Ascomycota;Dothideomycetes;?;?;?	6777	0	27	16	2066	6526	1999	14927	491	266	2819	1421	1115	52	0	0	4256	6451	2755	22284	8663	1108	9871	1174	4307	19	1	70	1566	2215	7951	2817	2932	1873	488	6622	4477	29	25	4	536	2920	3163	7056	1242	1294	6422	3	5258	110	224	726	2039	1	4839	7268	10198	7643	167	758	4068	0	0	30	7371	2375	2561	1136	3161	2138	110	3331	2539	0	2	0	4324	669	4711	1720	3180	6361	12	0	3978	54	1	0	8123	1196	973	1083	3247	2938	8	538	0	2226	0	504	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;?;?	6	0	2	0	0	13	0	1	1	0	73	0	2	0	0	0	4	14	22	0	58	0	202	0	2	0	0	0	88	34	97	9	7	0	15	0	0	0	0	0	10	15	1	91	0	1	97	0	4	0	0	4	50	0	2	21	65	83	0	0	2	0	0	0	2	6	5	0	190	0	1	1	2	0	0	0	2	0	1	47	4	286	0	0	0	2	0	0	22	5	0	6	30	42	0	8	0	13	0	2	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella	15	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	13	0	0	35	0	0	0	2	0	73	0	1	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	28	0	0	0	4	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Dothiorella	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	25	0	0	0	0	2	0	0	1	0	26	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	3	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Endomelanconiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia	169	0	1	0	0	474	62	101	3	0	104	1212	6	0	0	0	61	115	155	47	35	19	4	405	212	0	0	2	0	216	41	8	2	0	0	2	125	0	0	0	6	93	62	0	1	16	0	0	72	0	0	2	168	0	7	178	1	0	0	7	18	0	0	0	548	13	30	4	3	1	12	0	41	0	0	0	3	1	0	1	0	78	0	0	3	0	0	0	196	60	0	80	0	15	0	11	0	35	0	6	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Microdiplodia	0	0	0	0	0	0	26	0	13	0	0	3	0	0	0	0	0	2	0	0	469	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	6	0	0	0	0	0	4	96	1	1	0	0	0	1	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	259	1	0	0	0	0	9	0	5	0	1	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neoscytalidium	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Pseudofusicoccum	0	0	0	0	88	8	50	1	1	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	19	0	5	4	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	277	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;unidentified	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Incertae sedis;Camarosporium	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	135	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	1	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;?;?	71	0	0	0	1	10	0	0	0	0	0	0	2	0	0	0	6	9	1	9	0	0	0	0	5	0	0	0	0	0	39	5	0	0	17	0	5	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	28	0	1	0	9	1	0	0	1	0	0	0	6	0	1	13	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Capnodium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Davidiellaceae;Cladosporium	21	0	1	0	14	106	6	136	236	3	648	0	0	4	0	0	225	140	2100	3433	35	3	136	11	9	204	0	2	111	58	844	5239	21925	0	86	36	8	20	0	1	32	169	569	7	844	7	127	0	95	3	2	11	34	0	416	4	298	1	13	16	44	0	0	0	16	8	246	125	2	0	1	5	18	0	0	0	60	2	275	2	23	283	0	0	38	17	0	0	31	4	1	3	366	2	0	8	0	252	0	48	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Davidiellaceae;Davidiella	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	5	0	1	3	0	0	0	0	7	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	17	0	1	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Incertae sedis;?	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	258	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Incertae sedis;Toxicocladosporium	716	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;?	34	0	0	0	0	18	58	261	0	4	0	0	14	1	0	0	4	6	12	0	2	0	2	14	4	0	0	0	2	7	16	0	0	35	0	0	40	0	0	0	0	7	0	15	1	0	7	0	0	0	0	2	4	0	0	0	51	0	0	0	11	0	0	0	6	17	6	1	1	0	0	0	13	0	0	0	29	0	52	0	0	0	0	0	0	0	0	0	5	0	11	0	1	0	0	2	0	23	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Dothistroma	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	5	0	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	103	0	22	0	0	0	4	0	0	0	6	0	0	0	4	0	0	0	0	0	0	2	2	0	0	29	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	2	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Pseudocercospora	126	0	0	0	2	34	0	0	25	1	0	24	34	0	0	0	4	20	5	0	96	0	0	1	295	0	1	0	4	12	31	0	1	0	20	18	3	5	0	0	10	194	24	0	257	0	99	0	3	0	0	0	7	0	7	0	28	2	1	0	10	0	0	0	15	3	15	1	34	0	0	14	11	0	0	0	33	0	1	0	17	0	0	0	0	0	0	0	13	21	0	0	0	13	0	5	0	8	0	5	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	31	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;unidentified	22	0	0	0	1	6	0	0	0	1	0	0	3	0	0	0	3	16	2	1	0	0	0	0	1	0	0	0	2	6	5	0	1	0	0	0	0	0	0	0	5	27	4	853	0	0	0	0	2	0	0	80	14	0	10	0	14	0	0	0	0	0	0	0	7	5	0	6	1	0	0	0	4	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	9	0	2	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Devriesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Teratosphaeria	13	0	0	3	0	5	0	0	5	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	313	151	0	2	0	0	0	7	0	0	3	8	8	1	2	0	0	0	0	0	0	0	0	12	0	18	0	2	0	9	0	0	0	0	0	10	0	100	1	0	0	0	0	0	0	0	0	5	0	0	71	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	0	8	0	2	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified;?	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified;unidentified	13	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Aureobasidium	149	0	0	0	3	27	104	214	32	0	1548	65	7	0	0	0	49	46	44	8	65	15	55	12	12	0	0	0	9	58	59	0	22	0	83	14	20	0	2	0	1	69	26	0	2	5	45	0	107	2	0	0	14	0	21	1	2	12	2	0	10	0	0	0	35	66	9	4	64	2	0	7	13	0	0	0	18	46	0	6	12	19	1	0	14	24	0	0	29	183	25	1	11	35	0	7	0	25	0	8	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Micropeltidaceae;Stomiopeltis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Myxotrichaceae;Oidiodendron	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	187	0	0	3	0	1	0	2	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis;Pseudeurotiaceae;Pseudeurotium	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Jahnulales;?;?	15	0	0	0	12	27	0	250	0	1	0	0	13	0	0	0	42	2	1	0	0	2	2	0	1041	0	0	0	12	13	0	0	1	0	0	0	24	0	0	0	1	13	0	0	0	0	1	0	119	2	0	0	1	0	6	196	99	0	3	0	22	0	0	0	1	1	4	5	9	20	0	14	29	0	0	0	7	0	0	0	9	0	0	0	68	0	0	0	28	0	30	0	6	0	0	9	0	5	0	12	0
Fungi;Ascomycota;Dothideomycetes;Jahnulales;Aliquandostipitaceae;Xylomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Rhytidhysteron	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	11	11	0	0	0	0	0	17	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;?;?	21389	0	1	4	254	1235	908	846	52	263	2864	315	845	1	0	0	444	764	1710	336	1176	604	3134	368	2557	19	1	20	267	446	1714	197	1697	213	149	1076	1662	4	22	1	391	1056	364	632	363	142	1791	1	830	11	46	76	1034	0	982	1371	7833	1361	102	499	524	1	0	2	584	305	1333	270	1005	1761	15	836	739	0	0	0	2694	730	26	726	563	914	14	0	404	43	0	0	2572	3260	108	708	886	1533	1	106	0	583	0	128	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Curreya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaetopsis	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2	7	9	0	0	0	120	1	0	0	0	0	17	0	105	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	23	0	0	0	0	0	0	0	10	0	0	258	1	0	1	0	0	1	0	0	16	0	0	0	0	18	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	4	0	1	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;?	286	0	0	5	86	937	961	30	3009	43	1030	513	136	15	0	0	271	570	670	1003	2838	185	1773	282	543	3	0	13	169	794	849	403	296	347	121	921	315	0	3	3	47	895	730	2039	3	126	2640	6	383	6	23	177	495	1	307	133	1122	1238	15	216	293	0	0	2	366	109	287	44	663	297	21	839	133	0	0	0	939	104	1110	273	421	438	1	0	310	13	0	0	876	327	4	619	633	991	1	64	0	191	0	35	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;Ascochyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;Letendraea	295	0	0	0	83	111	138	149	28	5	101	548	38	4	0	0	36	70	53	47	73	120	123	100	213	0	0	2	53	32	289	19	12	0	13	603	60	0	2	0	27	81	21	257	2	93	37	0	168	1	32	29	113	0	46	95	43	218	0	490	100	0	0	0	615	37	23	15	41	1131	0	1043	66	0	0	0	102	0	203	46	34	186	1	0	34	2	0	0	141	17	0	37	109	394	3	13	0	73	0	10	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;Periconia	9	0	0	0	0	25	0	0	1	0	0	0	9	0	0	0	38	70	1	1	0	103	1	0	6	0	0	2	0	0	206	4	2	0	2	1	5	1	1	0	0	12	0	0	0	24	1	0	0	0	0	0	16	0	3	257	0	0	0	1	0	0	0	0	30	8	2	3	0	0	1	1933	5	0	0	0	0	138	0	0	6	53	0	0	0	0	0	0	106	382	0	1	13	0	0	6	0	13	0	10	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;Phoma	89	0	0	0	8	59	1	0	1168	0	33	20	20	0	0	0	12	10	13	301	0	42	24	0	10	3	0	0	1	7	50	14	440	0	8	85	28	4	9	0	17	23	2	125	145	1	27	0	64	0	1	6	23	0	16	0	78	63	0	0	21	0	0	1	18	8	7	10	0	35	0	59	24	0	0	0	81	187	2	14	17	7	0	0	4	0	0	0	57	7	41	9	23	95	0	3	0	28	0	2	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Incertae sedis;Pyrenochaeta	2	0	0	0	23	5	0	1	25	0	0	8	63	0	0	0	20	8	20	0	1	1	34	97	4	0	0	0	11	31	41	0	2	0	6	0	7	0	0	0	6	18	5	0	0	0	24	0	2	0	0	0	1	0	121	1	1	4	0	0	3	0	0	0	10	0	12	2	0	0	0	0	4	0	0	0	17	0	1	313	0	11	0	0	0	0	0	0	15	0	0	2	2	0	0	2	0	8	0	1	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Coniothyrium	2	0	0	0	0	35	0	0	0	0	0	104	3	0	0	0	5	15	25	0	0	1	17	0	9	0	0	0	5	8	10	0	1	0	0	101	18	0	0	0	0	0	0	0	21	30	0	0	0	0	3	0	18	0	0	0	1	60	0	0	0	0	0	0	100	0	1	5	0	26	0	7	2	0	0	0	14	0	0	0	55	15	0	0	3	0	0	0	6	0	0	0	33	26	0	2	0	6	0	2	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Leptosphaeria	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;?	1	0	0	0	0	3	0	1	1	0	215	0	0	0	0	0	1	1414	19	1	0	3	467	0	1	0	0	0	47	29	285	0	1	0	26	0	0	0	0	0	20	18	163	1	1	0	322	0	1	0	0	0	5	0	217	0	4	2	6	0	0	0	0	0	0	0	102	3	0	2	0	0	0	0	2	0	1	0	1	0	1	366	0	0	1	8	0	0	2	1	2	0	0	44	1	12	0	21	0	11	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	42	0	0	25	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
